date,shift,required_ground_crew_count
2024-08-06,Afternoon,120
2026-08-05,Night,68
2026-05-31,Night,74
2024-01-28,Night,39
2026-02-23,Afternoon,66
2024-04-02,Morning,149
2026-03-20,Afternoon,45
2026-06-24,Afternoon,70
2024-05-23,Afternoon,123
2025-04-20,Afternoon,89
2024-05-15,Morning,131
2025-09-13,Night,45
2026-10-13,Morning,101
2024-03-29,Night,71
2025-03-11,Morning,85
2026-12-02,Morning,97
2024-11-25,Night,41
2024-05-24,Night,57
2025-06-19,Afternoon,114
2025-07-11,Night,65
2025-12-27,Morning,140
2024-12-09,Night,87
2026-11-13,Morning,143
2025-07-25,Afternoon,94
2024-11-09,Afternoon,39
2026-11-18,Morning,96
2026-10-10,Afternoon,101
2025-07-01,Afternoon,105
2024-01-28,Morning,94
2025-10-16,Night,34
2025-08-31,Afternoon,133
2024-06-11,Morning,90
2025-11-25,Afternoon,73
2026-07-10,Morning,96
2024-04-26,Morning,89
2026-03-03,Afternoon,81
2024-06-02,Morning,143
2026-03-31,Morning,179
2025-04-04,Afternoon,166
2024-01-08,Morning,86
2026-11-24,Night,58
2024-06-30,Night,47
2025-10-15,Morning,94
2024-07-17,Afternoon,106
2026-10-19,Morning,149
2026-03-20,Afternoon,110
2026-05-31,Morning,43
2025-04-18,Night,89
2025-05-27,Morning,186
2025-11-26,Afternoon,54
2026-05-10,Morning,88
2026-07-17,Morning,113
2024-01-20,Afternoon,119
2025-12-28,Afternoon,133
2024-04-29,Night,72
2024-11-11,Morning,54
2026-06-28,Morning,92
2024-10-01,Morning,97
2026-05-23,Morning,112
2025-05-22,Night,114
2024-09-11,Night,42
2025-01-01,Night,64
2025-08-04,Morning,106
2026-04-18,Afternoon,95
2025-10-26,Afternoon,125
2026-10-19,Morning,114
2026-08-09,Afternoon,122
2026-04-05,Morning,145
2025-10-23,Morning,116
2024-11-13,Night,37
2025-03-28,Morning,103
2024-05-10,Night,87
2025-02-14,Morning,147
2026-10-12,Morning,83
2025-04-11,Morning,92
2024-05-04,Morning,66
2025-12-15,Afternoon,65
2026-11-21,Morning,120
2026-08-08,Afternoon,122
2024-10-27,Night,80
2025-05-12,Morning,80
2025-08-04,Morning,122
2024-09-28,Afternoon,85
2024-10-21,Night,46
2024-09-16,Afternoon,126
2026-12-26,Morning,184
2026-03-28,Afternoon,79
2026-07-10,Afternoon,93
2026-06-13,Morning,99
2026-11-17,Morning,124
2024-04-25,Night,58
2026-08-24,Morning,133
2024-03-13,Morning,91
2025-06-05,Morning,60
2025-10-13,Afternoon,59
2025-01-27,Afternoon,100
2024-06-09,Morning,230
2024-07-29,Afternoon,63
2026-06-22,Afternoon,238
2024-12-15,Morning,188
2024-12-06,Night,67
2026-10-09,Morning,83
2024-06-06,Morning,103
2026-09-30,Night,46
2026-10-06,Night,67
2025-10-18,Morning,216
2024-06-30,Night,45
2024-06-19,Afternoon,72
2024-11-08,Morning,105
2025-09-24,Night,81
2024-06-17,Night,105
2025-05-14,Morning,72
2024-05-06,Afternoon,63
2025-08-15,Morning,149
2024-01-24,Morning,36
2026-02-16,Night,38
2024-03-01,Afternoon,155
2024-08-01,Afternoon,141
2024-07-10,Afternoon,148
2026-06-29,Afternoon,107
2024-02-28,Morning,42
2025-04-15,Night,32
2025-10-09,Afternoon,110
2025-07-19,Afternoon,141
2026-01-16,Afternoon,112
2026-05-30,Morning,107
2025-03-07,Morning,50
2026-06-26,Morning,133
2024-12-14,Morning,178
2026-12-14,Afternoon,168
2025-07-06,Night,92
2026-03-17,Morning,141
2026-08-17,Morning,110
2026-05-18,Afternoon,88
2026-07-21,Morning,134
2025-08-11,Night,61
2024-02-17,Morning,60
2025-06-24,Morning,178
2024-07-17,Morning,81
2026-09-01,Night,105
2024-09-16,Morning,45
2024-09-06,Afternoon,49
2024-09-30,Morning,94
2025-12-05,Morning,125
2025-09-18,Night,35
2026-11-05,Morning,124
2025-04-01,Morning,106
2024-11-05,Afternoon,108
2024-02-23,Night,53
2024-01-08,Morning,71
2025-02-13,Morning,49
2026-10-11,Night,101
2025-07-28,Afternoon,112
2026-09-06,Night,52
2024-04-21,Night,51
2024-04-12,Afternoon,226
2026-07-02,Morning,47
2024-04-26,Morning,116
2024-02-26,Afternoon,70
2025-03-18,Afternoon,94
2026-10-10,Night,76
2026-01-25,Afternoon,57
2024-04-18,Morning,60
2026-07-06,Afternoon,132
2026-07-13,Afternoon,163
2026-05-27,Afternoon,91
2026-09-16,Night,47
2024-09-19,Afternoon,55
2026-12-09,Morning,117
2024-12-17,Afternoon,115
2026-05-29,Afternoon,119
2025-09-26,Night,52
2026-05-04,Afternoon,148
2025-11-19,Afternoon,60
2025-12-05,Afternoon,60
2025-11-06,Afternoon,92
2026-05-03,Morning,145
2026-03-20,Night,50
2024-05-27,Night,45
2026-06-24,Afternoon,124
2025-08-10,Afternoon,110
2024-12-20,Morning,89
2025-07-17,Afternoon,116
2026-11-25,Afternoon,118
2026-07-28,Afternoon,185
2026-07-02,Morning,117
2025-05-22,Afternoon,122
2026-05-09,Morning,119
2025-02-26,Afternoon,83
2026-01-22,Afternoon,67
2025-12-01,Morning,128
2024-09-30,Afternoon,86
2024-10-19,Night,61
2024-03-08,Afternoon,106
2024-06-02,Morning,125
2025-04-20,Afternoon,86
2025-06-07,Morning,109
2024-06-29,Afternoon,55
2025-04-01,Afternoon,60
2025-10-24,Morning,100
2024-09-11,Afternoon,95
2025-01-05,Afternoon,93
2025-02-06,Night,42
2025-07-07,Morning,103
2025-02-05,Morning,117
2026-03-18,Afternoon,74
2024-12-24,Morning,132
2025-04-20,Afternoon,63
2025-02-19,Morning,188
2024-07-19,Morning,86
2026-01-21,Afternoon,108
2024-09-15,Morning,127
2024-11-21,Afternoon,33
2026-05-18,Morning,97
2026-11-05,Afternoon,93
2026-01-05,Morning,85
2026-10-01,Night,75
2026-07-25,Night,58
2025-06-11,Morning,105
2026-04-24,Afternoon,61
2024-12-25,Morning,133
2025-05-19,Afternoon,51
2025-08-09,Morning,156
2026-11-18,Afternoon,66
2026-07-19,Morning,99
2025-06-20,Night,105
2025-12-16,Afternoon,105
2024-08-09,Afternoon,100
2026-05-31,Morning,92
2025-08-29,Morning,160
2025-08-06,Morning,117
2026-04-19,Night,86
2025-11-24,Night,41
2024-03-20,Morning,64
2024-11-11,Afternoon,64
2024-07-12,Afternoon,137
2026-03-16,Morning,101
2024-02-08,Afternoon,97
2024-08-09,Morning,146
2025-10-16,Morning,119
2026-01-31,Afternoon,106
2025-07-05,Morning,104
2026-08-01,Night,74
2026-10-04,Afternoon,81
2024-05-24,Night,76
2026-11-09,Afternoon,60
2025-11-04,Night,85
2025-11-28,Morning,93
2024-04-14,Afternoon,75
2025-11-12,Afternoon,75
2026-03-06,Night,63
2025-09-28,Morning,94
2024-04-02,Afternoon,69
2025-07-27,Night,130
2026-10-22,Morning,50
2026-03-03,Night,50
2024-05-30,Morning,86
2026-11-18,Morning,124
2026-11-16,Afternoon,80
2024-07-04,Afternoon,185
2026-05-27,Morning,139
2025-03-21,Morning,181
2025-10-12,Morning,130
2025-05-02,Night,78
2026-05-07,Night,42
2026-12-28,Afternoon,103
2026-05-21,Morning,165
2026-10-17,Afternoon,141
2026-11-02,Night,88
2024-04-08,Afternoon,46
2024-10-04,Morning,177
2026-03-02,Morning,66
2025-10-08,Night,44
2024-02-24,Night,29
2024-04-14,Morning,53
2025-07-24,Night,63
2025-11-06,Morning,165
2024-07-02,Morning,85
2024-07-06,Night,33
2024-05-21,Afternoon,123
2025-09-11,Afternoon,52
2024-01-09,Night,82
2025-09-19,Night,33
2025-06-05,Morning,113
2025-05-25,Afternoon,93
2026-01-14,Night,141
2025-07-26,Afternoon,133
2026-03-08,Night,64
2026-04-17,Afternoon,133
2026-10-05,Morning,97
2026-05-25,Morning,46
2025-07-21,Night,60
2025-06-23,Night,78
2024-09-15,Morning,107
2025-10-19,Morning,65
2024-06-01,Night,60
2026-10-17,Morning,134
2026-07-15,Morning,84
2024-05-11,Night,64
2026-05-11,Night,120
2024-05-08,Night,50
2026-03-01,Afternoon,130
2024-04-06,Morning,98
2025-06-19,Night,83
2025-12-22,Morning,164
2026-03-09,Morning,86
2025-04-03,Night,64
2026-10-07,Afternoon,94
2026-04-28,Night,58
2024-08-16,Morning,89
2026-01-05,Night,74
2026-03-11,Afternoon,160
2024-12-31,Afternoon,123
2026-03-20,Night,52
2026-09-11,Morning,205
2026-06-14,Afternoon,95
2026-04-15,Afternoon,77
2025-11-26,Night,53
2024-10-23,Night,60
2026-05-21,Afternoon,83
2025-02-03,Morning,97
2025-08-06,Morning,163
2024-12-10,Night,81
2024-12-09,Night,103
2024-06-21,Night,49
2026-11-19,Morning,143
2024-06-10,Morning,126
2024-04-04,Night,92
2026-10-22,Night,93
2025-08-31,Morning,171
2025-04-24,Afternoon,168
2026-03-19,Morning,76
2025-02-24,Afternoon,70
2024-05-20,Morning,104
2026-03-10,Morning,73
2024-07-11,Morning,65
2025-08-29,Night,128
2026-11-06,Afternoon,67
2026-10-23,Night,100
2025-01-30,Afternoon,58
2026-05-05,Afternoon,68
2025-11-02,Morning,79
2025-06-09,Afternoon,49
2024-06-02,Morning,152
2025-02-16,Afternoon,43
2025-12-15,Night,57
2026-12-17,Night,53
2024-01-06,Morning,106
2026-02-25,Afternoon,55
2026-07-16,Morning,86
2026-11-08,Morning,107
2025-04-09,Afternoon,88
2024-05-09,Afternoon,124
2024-10-23,Afternoon,73
2026-07-21,Morning,108
2026-08-20,Night,128
2025-11-29,Night,107
2024-05-14,Afternoon,68
2024-05-13,Night,49
2025-06-08,Morning,130
2025-10-06,Afternoon,85
2024-02-05,Night,61
2026-01-21,Night,47
2025-08-19,Night,112
2024-01-14,Afternoon,56
2024-04-14,Night,114
2025-05-12,Afternoon,52
2026-03-02,Morning,89
2026-06-23,Morning,188
2025-04-17,Night,58
2024-11-19,Afternoon,119
2026-11-27,Afternoon,99
2025-05-17,Night,67
2024-12-11,Afternoon,134
2025-04-29,Morning,89
2024-01-14,Afternoon,129
2024-11-26,Afternoon,58
2025-07-19,Night,40
2026-10-03,Afternoon,50
2026-03-20,Afternoon,71
2026-05-06,Afternoon,66
2025-08-20,Afternoon,62
2024-05-01,Night,43
2025-03-04,Morning,83
2026-12-28,Night,39
2024-02-18,Afternoon,54
2026-08-21,Morning,127
2026-01-20,Afternoon,119
2024-11-07,Afternoon,125
2026-05-02,Afternoon,123
2026-07-06,Night,127
2024-02-17,Morning,103
2024-04-26,Morning,115
2025-12-30,Morning,118
2026-12-31,Afternoon,126
2024-01-27,Afternoon,53
2025-12-30,Night,44
2024-05-29,Afternoon,149
2025-12-13,Morning,171
2025-11-14,Morning,123
2024-04-09,Morning,52
2026-01-16,Afternoon,51
2026-09-10,Morning,87
2026-08-04,Afternoon,108
2024-02-01,Night,49
2024-09-26,Afternoon,83
2024-09-20,Morning,135
2025-05-11,Morning,99
2024-06-05,Afternoon,82
2026-07-25,Afternoon,47
2026-05-01,Morning,72
2026-06-04,Night,44
2024-08-05,Afternoon,56
2024-01-16,Afternoon,102
2026-09-25,Morning,97
2024-11-12,Morning,64
2025-12-20,Morning,144
2026-09-23,Morning,130
2024-02-09,Afternoon,132
2024-01-06,Afternoon,98
2024-01-06,Night,41
2024-06-20,Night,66
2024-02-26,Morning,97
2026-06-17,Morning,66
2025-10-26,Night,102
2026-12-10,Night,48
2026-05-28,Night,43
2026-11-21,Morning,71
2024-09-18,Morning,96
2024-11-11,Morning,45
2026-07-19,Night,67
2024-09-25,Afternoon,72
2024-03-03,Afternoon,112
2026-01-03,Afternoon,81
2026-05-27,Morning,111
2026-11-27,Afternoon,90
2026-10-13,Morning,118
2024-05-11,Afternoon,102
2026-04-26,Afternoon,77
2026-07-16,Afternoon,134
2026-02-04,Morning,56
2026-06-17,Night,134
2026-07-07,Afternoon,129
2025-05-04,Morning,94
2024-02-14,Morning,89
2025-05-14,Afternoon,62
2024-08-09,Morning,91
2024-05-04,Morning,114
2024-05-16,Morning,55
2026-02-03,Morning,108
2025-07-06,Afternoon,62
2025-08-14,Afternoon,66
2026-03-27,Morning,93
2025-08-23,Afternoon,82
2025-11-21,Morning,118
2024-04-04,Morning,87
2026-07-21,Morning,110
2025-05-06,Night,43
2024-06-19,Night,42
2026-06-10,Afternoon,89
2026-03-16,Morning,101
2024-02-28,Morning,84
2024-07-30,Morning,160
2024-01-18,Night,51
2024-10-23,Morning,101
2024-04-19,Night,56
2026-02-17,Afternoon,81
2025-07-26,Afternoon,132
2026-12-10,Night,112
2026-04-01,Morning,40
2025-11-01,Night,51
2025-07-12,Morning,134
2024-02-29,Night,68
2024-03-17,Afternoon,106
2025-11-06,Morning,58
2024-01-05,Night,58
2024-02-16,Morning,60
2024-08-28,Morning,66
2026-08-27,Night,67
2025-05-17,Afternoon,110
2026-02-16,Night,51
2025-03-27,Afternoon,47
2024-07-08,Afternoon,94
2025-02-10,Morning,105
2024-04-10,Morning,87
2026-04-24,Night,49
2024-07-20,Morning,109
2025-02-16,Afternoon,114
2026-12-10,Morning,98
2025-10-10,Morning,134
2025-05-17,Afternoon,97
2025-08-18,Night,77
2026-05-09,Night,47
2024-10-05,Night,56
2025-11-28,Morning,99
2026-08-14,Afternoon,102
2025-09-19,Morning,53
2025-05-04,Afternoon,56
2024-06-08,Morning,92
2024-09-29,Afternoon,81
2026-11-02,Morning,90
2025-08-16,Night,71
2024-11-26,Night,55
2025-04-03,Night,51
2025-09-25,Morning,69
2025-08-12,Night,51
2026-02-05,Morning,120
2024-10-09,Morning,90
2025-12-12,Morning,127
2025-04-30,Morning,89
2026-10-27,Afternoon,59
2024-06-22,Morning,160
2024-06-11,Morning,52
2025-05-20,Afternoon,102
2025-07-11,Night,99
2026-01-27,Afternoon,81
2025-03-18,Afternoon,70
2026-09-28,Morning,106
2025-06-03,Night,50
2024-05-21,Morning,62
2024-05-10,Morning,86
2026-12-02,Morning,84
2024-05-26,Afternoon,79
2026-11-04,Morning,138
2024-10-31,Afternoon,79
2024-04-12,Morning,93
2024-11-29,Afternoon,67
2025-11-04,Afternoon,78
2025-04-13,Morning,64
2026-05-10,Afternoon,49
2025-10-31,Afternoon,89
2025-03-15,Afternoon,111
2025-11-26,Morning,70
2026-11-30,Afternoon,99
2025-03-27,Morning,94
2024-06-17,Morning,96
2025-03-24,Morning,94
2026-07-09,Afternoon,98
2024-08-26,Morning,121
2026-11-06,Afternoon,144
2025-10-06,Morning,83
2025-10-21,Night,39
2024-12-13,Morning,110
2026-10-05,Afternoon,77
2024-02-09,Night,50
2024-11-23,Morning,107
2025-04-03,Morning,61
2025-06-07,Afternoon,146
2025-06-03,Night,80
2024-06-11,Night,84
2024-09-04,Morning,74
2024-04-14,Night,65
2025-09-19,Morning,105
2025-01-19,Morning,74
2025-09-12,Afternoon,132
2025-10-08,Afternoon,102
2026-02-08,Afternoon,107
2025-08-22,Night,47
2025-12-11,Morning,137
2025-10-05,Afternoon,76
2025-12-16,Morning,69
2025-11-06,Morning,102
2024-12-12,Morning,164
2024-09-26,Night,53
2026-05-13,Afternoon,111
2025-01-10,Morning,122
2025-08-24,Afternoon,139
2024-08-03,Night,45
2025-04-17,Night,68
2025-08-03,Afternoon,197
2025-11-17,Morning,81
2025-07-30,Afternoon,54
2025-01-30,Night,41
2026-11-20,Night,50
2025-07-15,Night,111
2026-06-04,Afternoon,136
2026-03-18,Morning,115
2025-09-03,Afternoon,38
2026-08-29,Morning,95
2024-05-20,Morning,125
2026-10-06,Afternoon,108
2026-07-20,Afternoon,166
2025-07-05,Night,104
2026-03-14,Night,138
2025-07-24,Night,69
2024-10-21,Night,37
2026-05-26,Afternoon,62
2024-09-26,Morning,63
2024-12-10,Afternoon,126
2025-07-23,Morning,84
2026-07-06,Morning,152
2025-02-24,Morning,126
2025-06-25,Night,52
2024-02-15,Afternoon,68
2024-05-06,Night,49
2024-03-02,Night,51
2024-03-19,Night,56
2026-08-09,Morning,110
2026-07-11,Night,101
2026-06-19,Night,130
2024-03-01,Night,79
2024-03-26,Morning,90
2024-11-03,Morning,110
2025-09-11,Night,126
2025-01-01,Morning,81
2025-06-18,Morning,147
2024-07-08,Afternoon,119
2026-03-11,Morning,75
2024-12-10,Morning,83
2024-03-13,Night,88
2026-03-24,Night,50
2026-09-16,Night,82
2024-01-17,Morning,90
2025-04-23,Morning,172
