date,shift,scheduled_arrivals,scheduled_departures,international_flights,domestic_flights,wide_body_count,narrow_body_count,expected_passengers,cargo_tonnage,mail_tonnage,dangerous_goods_tonnage,weather_severity_index,wind_speed,visibility_km,rainfall_mm,equipment_utilization_rate,equipment_breakdown_count,active_gates,occupied_gates,staff_absenteeism_rate,delay_minutes,workload_index,required_ground_crew_count
2025-08-20,Afternoon,73,54,47,80,15,112,20453,152.27,16.09,0.0,5.49,39.2,11.91,42.9,76.28,2,96,71,3.48,55.2,52.65,192
2025-04-30,Morning,83,80,45,118,19,148,25011,110.32,30.5,0.46,2.12,14.7,17.49,7.6,86.2,7,65,49,6.32,92.1,60.3,219
2025-05-08,Morning,77,44,38,83,13,113,23504,95.9,19.76,1.52,0.83,8.3,17.85,3.4,76.48,0,67,47,1.98,37.4,41.03,161
2024-09-06,Night,34,28,12,50,7,55,12994,54.26,12.77,0.43,2.12,20.2,15.63,9.0,51.12,1,81,27,2.42,13.4,20.53,93
2024-04-10,Morning,46,35,16,65,5,71,12341,35.88,14.02,0.35,2.1,38.9,18.11,3.9,63.27,3,36,20,3.99,34.2,24.5,120
2025-08-30,Afternoon,34,44,19,59,5,73,12237,57.68,9.29,1.7,0.89,6.6,18.95,0.0,63.41,2,64,23,3.42,23.2,21.56,105
2026-08-31,Afternoon,84,104,75,113,23,161,32205,264.64,37.9,1.59,2.21,31.4,15.24,24.5,90.76,0,52,44,6.33,117.7,74.39,257
2024-03-10,Morning,60,68,39,89,12,115,23945,88.4,18.08,0.07,1.74,18.4,16.31,20.6,81.74,1,82,63,4.03,37.4,44.93,174
2026-07-29,Night,16,39,11,44,5,51,10227,39.02,8.31,0.13,1.6,13.3,15.99,24.4,52.15,0,101,44,6.24,6.6,13.77,91
2026-06-26,Morning,82,87,66,103,22,143,27746,176.28,16.42,1.14,1.47,10.9,16.48,1.0,93.56,2,73,64,6.22,136.8,62.86,233
2024-10-30,Night,42,40,17,65,3,82,11484,34.03,17.91,1.9,0.82,15.8,17.72,0.7,51.77,0,65,30,1.12,3.3,18.16,82
2025-11-23,Night,38,29,16,51,4,59,10702,44.88,5.99,1.97,2.59,10.8,16.06,4.3,59.6,0,98,41,1.39,13.7,18.74,86
2024-06-30,Morning,53,57,33,77,4,104,20590,68.81,6.72,0.78,2.45,11.5,17.04,4.6,57.57,1,80,50,3.53,30.6,38.55,140
2026-04-10,Morning,58,65,38,85,8,112,22038,198.57,12.51,6.34,0.9,15.3,17.12,0.0,84.87,0,92,66,2.01,32.8,44.94,164
2026-02-06,Morning,72,73,63,82,21,126,24966,129.27,22.67,1.41,1.93,9.4,18.14,1.5,86.97,2,65,43,2.05,38.2,52.24,197
2025-01-23,Morning,57,51,30,78,7,102,20812,64.34,14.14,7.58,2.11,16.9,17.24,5.5,71.63,0,61,35,1.32,12.7,36.34,142
2024-03-15,Morning,67,74,44,97,11,133,27611,78.67,12.52,0.74,1.56,16.9,17.1,9.2,82.64,2,96,69,1.61,33.1,50.91,175
2026-11-29,Night,40,33,19,54,7,65,14592,64.41,7.85,1.63,1.4,19.5,14.85,15.0,70.9,0,94,42,4.19,3.1,22.2,109
2025-05-03,Morning,69,71,53,87,16,125,28384,151.59,21.93,11.37,0.9,10.6,17.17,1.4,78.67,1,50,43,2.01,55.3,53.41,201
2026-09-05,Night,43,36,16,63,6,72,11615,59.25,6.47,1.57,2.82,15.6,17.31,0.6,62.88,1,80,40,3.59,27.9,24.11,105
2026-01-12,Morning,46,61,23,84,9,102,22094,73.49,10.57,0.95,7.55,41.6,14.07,0.3,73.2,1,61,37,2.83,65.5,50.12,168
2026-05-03,Night,44,50,26,68,9,82,19600,116.09,18.23,0.16,1.69,20.9,14.96,7.9,61.55,0,78,41,1.56,8.7,34.21,124
2026-04-12,Morning,73,81,53,101,15,136,26570,163.29,15.62,0.29,4.98,28.1,17.19,0.3,93.9,0,80,70,6.29,168.2,63.94,217
2024-08-01,Afternoon,32,51,21,62,7,73,14122,97.26,13.96,1.34,1.01,12.2,17.42,7.8,51.9,0,84,45,1.15,5.2,24.45,110
2025-02-02,Afternoon,62,36,25,73,8,92,17053,105.81,7.92,1.66,0.44,4.1,18.31,2.6,79.9,1,60,39,2.28,17.1,30.54,127
2025-05-26,Morning,78,55,49,84,15,120,29487,125.92,16.52,6.81,0.43,10.7,17.18,7.1,87.33,2,68,53,3.14,53.0,51.92,195
2025-06-29,Night,54,70,45,79,21,102,27262,114.68,17.41,0.43,1.68,11.0,18.71,0.0,78.18,0,100,72,1.25,31.8,47.74,177
2024-02-18,Morning,76,64,39,101,10,135,22885,129.56,11.78,0.05,4.63,38.5,11.98,26.6,83.18,0,76,56,1.8,139.6,54.81,184
2025-08-22,Afternoon,52,51,25,78,9,97,16491,77.26,14.3,1.9,2.39,17.2,16.85,1.3,71.89,2,76,48,20.0,24.5,34.18,174
2024-06-18,Afternoon,65,82,63,84,15,127,26153,185.93,18.1,1.73,1.65,14.7,14.96,28.9,79.37,1,73,58,1.25,121.0,56.92,200
2026-03-25,Afternoon,52,55,33,74,7,101,21021,81.33,13.31,0.26,0.35,19.4,15.58,12.0,78.78,0,84,58,2.92,22.3,34.07,137
2026-01-18,Morning,66,76,55,87,20,121,33648,207.05,23.63,1.02,1.8,24.1,17.18,0.5,88.42,2,86,75,3.41,64.1,64.48,226
2026-10-08,Morning,75,77,68,84,17,130,35000,127.41,17.33,1.41,1.17,37.3,17.74,1.5,85.33,1,74,65,6.18,103.3,62.58,226
2026-03-27,Morning,39,38,21,56,4,74,13759,70.56,7.1,5.24,1.46,31.6,18.27,3.4,70.31,0,87,31,1.43,7.0,22.6,108
2025-02-05,Morning,58,49,32,75,14,97,15933,118.1,22.8,0.86,2.27,18.0,16.44,16.6,64.34,0,68,39,3.16,21.5,34.35,149
2026-11-26,Morning,72,74,46,100,16,133,29981,139.07,28.05,0.56,1.01,10.2,17.5,0.0,84.81,0,101,75,11.25,53.1,54.84,209
2025-03-26,Night,27,34,16,45,3,59,7955,57.88,7.8,1.88,0.46,13.4,17.4,12.0,58.75,2,62,31,6.07,20.4,13.31,92
2024-12-23,Afternoon,62,59,46,75,14,108,17484,100.47,19.41,1.2,2.92,16.4,15.49,18.2,78.74,1,67,37,1.44,14.3,39.5,157
2026-09-19,Afternoon,44,28,17,55,7,61,13714,33.45,8.75,1.8,2.41,17.4,16.97,0.0,65.67,0,68,30,2.92,10.1,21.7,105
2025-02-10,Morning,70,77,66,81,17,131,26165,152.66,17.57,1.65,4.81,18.4,16.94,0.2,83.52,1,76,61,1.72,154.6,61.98,208
2024-03-24,Morning,67,54,41,80,7,115,23150,102.54,14.93,1.89,2.09,17.1,14.13,15.3,82.93,0,76,50,4.28,27.9,43.17,161
2025-05-29,Afternoon,42,50,24,68,11,77,14185,102.62,13.12,0.92,1.23,8.0,17.29,4.7,56.93,2,79,41,1.37,12.7,28.66,121
2026-05-22,Morning,56,58,41,73,11,102,20567,156.27,13.57,1.67,1.4,14.8,16.03,4.0,65.78,0,71,44,3.72,12.1,40.28,153
2024-07-26,Morning,74,81,62,93,20,132,29648,259.44,27.32,1.52,4.1,24.0,13.45,24.2,90.22,0,51,43,3.58,62.2,68.01,231
2025-05-22,Afternoon,48,53,32,69,16,80,19498,135.11,10.21,0.9,5.82,36.7,10.75,49.6,68.22,0,65,44,3.15,56.4,45.12,169
2024-05-22,Afternoon,64,51,26,89,4,107,18345,73.24,16.04,0.65,1.64,25.0,16.59,0.0,80.29,1,73,35,4.76,7.7,35.4,134
2026-01-22,Night,26,19,10,35,2,45,7246,21.16,7.1,1.61,1.99,26.5,17.29,1.2,50.4,0,74,30,4.75,15.8,9.04,74
2025-06-05,Morning,86,79,60,105,23,147,26872,228.26,22.45,1.12,5.85,36.1,11.33,45.9,81.91,2,68,57,4.28,261.2,74.67,255
2024-12-27,Afternoon,83,70,54,99,16,140,26813,183.81,21.36,1.02,0.9,13.8,18.82,1.0,89.54,0,89,73,1.85,54.7,54.91,191
2024-09-05,Morning,60,28,22,66,1,83,12136,51.51,7.87,0.84,0.34,15.8,16.94,6.5,65.65,0,69,25,1.05,1.5,19.79,92
2025-09-10,Morning,38,29,13,54,7,65,11371,36.52,8.62,0.68,0.3,10.4,18.26,3.2,57.05,1,95,37,1.66,8.0,15.39,94
2026-01-04,Afternoon,67,55,44,78,12,108,17452,120.91,19.13,0.64,1.32,21.3,16.28,6.0,71.23,1,86,60,4.7,47.5,38.32,157
2026-10-27,Morning,66,67,40,93,14,121,27310,152.21,11.27,1.86,0.99,28.4,18.78,0.9,81.62,1,80,68,1.15,77.9,51.75,186
2025-04-24,Afternoon,59,58,29,88,8,108,19243,49.31,12.73,0.28,1.86,14.6,18.35,0.0,74.75,1,88,52,1.28,7.6,35.92,132
2024-06-25,Afternoon,79,72,56,95,26,130,23944,193.01,25.98,1.15,1.38,23.2,15.99,25.5,83.78,2,63,51,2.55,74.7,55.13,216
2026-07-01,Morning,76,90,73,93,25,138,28481,195.29,15.12,0.52,1.88,23.8,15.15,18.1,93.76,0,58,48,1.71,75.8,61.8,229
2025-11-21,Night,36,31,13,54,0,66,11705,27.18,9.13,1.83,1.81,22.3,17.73,4.7,62.73,0,69,27,1.27,17.3,17.49,77
2026-02-06,Afternoon,44,45,22,67,3,86,12584,51.29,12.84,0.13,2.46,14.4,17.77,2.9,53.28,2,58,28,3.23,19.9,26.48,108
2024-04-16,Night,31,31,12,50,1,58,8296,24.03,6.46,1.98,1.41,21.8,18.48,3.0,47.72,0,114,41,4.2,9.5,12.09,73
2024-12-08,Afternoon,68,64,59,73,21,114,31291,154.81,20.91,0.92,0.55,9.5,17.76,3.4,75.21,1,83,79,2.39,99.8,55.31,204
2026-04-21,Night,55,39,29,65,15,76,17087,121.22,26.33,1.74,1.05,7.3,18.31,4.4,63.02,0,68,37,1.16,6.1,30.68,128
2026-07-01,Morning,85,78,59,104,16,152,26657,125.18,20.38,0.29,0.93,17.8,14.88,27.8,94.33,0,83,75,3.94,83.3,54.38,206
2025-04-21,Afternoon,68,66,46,88,15,114,19737,134.07,20.97,1.13,2.35,31.1,16.45,2.7,83.31,0,76,46,6.35,13.2,43.82,175
2026-06-01,Night,49,45,22,72,6,84,16508,54.32,12.8,0.35,0.23,17.0,18.68,0.0,73.87,15,95,56,2.21,175.9,41.42,156
2026-07-11,Morning,64,70,57,77,25,111,31708,202.32,15.75,17.88,2.27,19.9,17.4,9.0,82.42,0,84,72,3.69,72.0,60.23,239
2025-02-28,Morning,87,84,56,115,18,155,22773,125.29,20.57,0.58,2.86,12.4,15.79,20.2,80.94,1,77,55,3.7,72.6,56.19,201
2026-09-11,Night,59,57,32,84,7,104,18426,79.18,8.41,1.71,1.51,7.7,16.48,15.9,65.53,0,73,54,1.28,28.0,35.3,126
2024-11-12,Afternoon,73,57,50,80,10,117,19547,119.3,23.98,1.75,1.52,14.3,16.98,5.6,75.85,1,69,54,3.61,58.9,42.41,159
2024-09-19,Afternoon,45,41,27,59,7,76,17161,99.22,12.67,1.82,2.61,14.4,13.81,14.5,58.8,9,94,42,4.89,95.9,40.61,152
2026-01-18,Afternoon,72,71,52,91,11,137,26640,154.33,27.37,0.24,0.89,23.9,18.3,4.0,79.98,2,91,65,5.64,32.8,52.7,185
2025-11-28,Night,42,28,15,55,4,68,10709,72.8,10.29,19.12,8.18,41.5,6.22,78.8,62.47,1,82,36,2.43,66.2,33.15,134
2024-06-02,Night,35,38,17,56,3,71,10699,45.06,9.22,1.29,2.29,19.2,15.51,11.9,52.68,5,88,28,1.64,47.8,24.18,101
2026-07-01,Afternoon,42,26,15,53,4,64,11054,52.26,9.88,1.86,0.75,14.0,18.59,0.0,59.24,0,66,27,5.77,2.9,15.92,98
2024-08-07,Morning,87,62,67,82,14,134,28878,131.06,11.96,0.62,0.29,6.3,18.52,0.0,73.91,0,82,55,5.11,23.7,51.9,192
2026-06-01,Morning,48,52,30,70,4,100,15831,101.69,19.11,0.57,2.8,33.8,13.72,19.6,57.17,0,43,21,1.75,11.3,32.98,128
2024-01-09,Afternoon,55,49,29,75,6,93,18627,112.23,14.13,1.4,0.62,22.1,17.05,14.1,63.19,1,76,45,2.04,7.3,33.65,134
2026-05-23,Night,29,37,15,51,7,64,16114,58.81,7.45,0.41,2.0,18.8,16.86,7.4,59.1,1,50,20,3.8,9.6,24.29,104
2026-05-12,Afternoon,68,70,55,83,13,130,29638,181.69,19.46,0.33,2.51,27.1,15.46,4.5,77.35,1,114,101,19.42,124.1,60.26,231
2026-05-05,Morning,55,66,35,86,20,106,18662,137.28,15.9,1.81,0.48,10.7,16.79,3.5,74.51,1,61,38,17.89,12.7,37.84,194
2025-12-29,Morning,119,107,93,133,21,180,35000,198.17,23.74,1.07,4.01,18.9,11.88,34.6,91.94,1,63,46,14.49,52.9,83.76,282
2025-05-31,Afternoon,27,41,15,53,9,62,14807,66.55,9.22,1.52,1.12,8.5,16.87,2.8,52.96,0,91,36,4.56,5.9,21.14,108
2026-02-11,Night,29,51,16,64,5,77,15382,63.64,11.78,1.32,2.32,13.2,18.07,3.4,73.67,0,92,42,6.35,14.6,26.2,111
2024-10-30,Morning,32,41,15,58,4,72,8125,50.28,11.58,0.33,2.59,28.1,17.64,2.0,41.73,2,53,22,6.39,12.2,19.14,104
2026-05-05,Afternoon,56,54,31,79,5,102,14981,77.88,12.89,1.32,0.53,11.8,19.19,0.0,78.57,2,57,36,1.55,20.3,30.35,123
2025-08-31,Night,35,46,18,63,4,76,17975,77.22,8.1,14.39,4.62,24.8,11.34,39.0,48.56,6,80,38,4.86,105.7,40.95,152
2025-05-17,Night,19,29,13,35,1,48,9497,32.32,7.41,16.2,2.66,14.1,16.68,10.9,52.56,2,104,30,1.46,20.5,15.42,87
2025-07-08,Morning,68,51,39,80,10,107,22209,177.81,14.46,1.9,2.62,27.7,17.34,3.6,87.57,1,119,87,6.39,37.3,47.57,182
2025-09-15,Night,38,28,15,51,7,54,8886,71.59,6.53,0.03,0.32,24.2,18.23,0.9,61.35,0,72,34,1.05,8.1,13.61,83
2024-02-10,Afternoon,27,21,11,37,4,46,9577,45.81,7.14,1.11,1.54,9.0,18.07,0.0,53.64,2,75,34,4.32,20.5,14.05,90
2024-06-02,Night,51,37,22,66,6,80,17550,78.88,13.49,1.56,5.28,18.0,8.39,49.8,68.44,0,84,43,4.0,43.2,36.78,132
2024-09-26,Morning,57,83,48,92,8,133,27272,99.28,11.96,6.66,2.32,11.2,17.71,0.1,81.51,0,101,69,3.29,27.0,51.02,177
2024-05-05,Afternoon,70,89,70,89,24,140,35000,190.77,13.49,0.7,4.78,20.1,11.42,33.9,87.29,1,103,89,6.72,186.5,75.49,253
2025-04-26,Afternoon,52,51,36,67,11,93,21910,106.71,18.3,0.59,8.35,44.7,15.23,3.5,60.94,1,85,58,5.92,161.5,54.35,181
2026-01-02,Morning,65,64,49,80,16,118,21999,252.83,17.86,0.6,1.0,15.9,17.43,6.5,82.57,1,86,58,2.9,35.9,49.71,184
2025-12-18,Afternoon,40,57,26,71,8,93,17288,84.77,5.34,0.62,1.83,30.4,18.2,3.0,57.88,0,85,44,4.02,11.4,31.25,130
2025-05-31,Afternoon,53,36,24,65,7,81,20038,64.58,11.24,0.82,1.39,25.6,16.39,18.7,63.76,0,79,50,1.9,23.7,30.99,129
2026-07-26,Afternoon,75,69,48,96,15,132,26582,181.16,27.52,0.01,0.71,14.5,18.67,0.0,81.19,0,63,54,2.29,92.2,53.34,190
2025-09-11,Morning,64,54,39,79,12,110,23780,124.86,15.97,0.81,2.6,31.2,17.17,4.9,85.49,1,59,46,3.57,43.3,46.47,175
2024-03-27,Afternoon,37,41,16,62,3,78,13705,42.34,8.16,0.83,9.52,37.0,14.13,4.7,60.98,3,82,35,3.81,172.0,42.57,139
2026-04-18,Morning,54,81,52,83,12,120,28851,114.7,25.87,0.65,5.28,38.8,11.94,43.1,88.98,3,63,46,6.79,59.0,61.23,212
2025-09-21,Night,39,41,24,56,7,73,11256,53.43,22.3,9.17,2.15,22.7,17.46,3.0,74.63,1,91,36,3.42,14.4,22.09,112
2025-11-26,Night,30,26,11,45,3,55,7955,42.33,7.1,0.75,1.7,22.2,17.23,2.1,67.31,7,99,40,2.25,74.1,19.31,95
2025-09-11,Morning,60,67,52,75,12,114,20307,119.56,10.58,0.72,1.83,37.0,16.11,8.3,80.56,2,61,39,2.78,28.9,43.45,171
2025-08-29,Morning,79,68,58,89,16,127,25531,112.34,23.32,1.25,0.43,11.4,19.27,0.0,81.62,0,85,71,3.91,48.6,48.05,187
2024-04-09,Morning,58,36,22,72,3,94,18994,68.21,8.66,0.36,1.21,11.7,16.99,3.9,67.48,1,81,50,6.18,12.5,31.29,129
2025-09-04,Afternoon,39,47,22,64,5,77,12663,51.9,12.05,0.54,1.59,24.7,14.16,2.5,62.54,0,71,36,2.71,6.5,22.44,105
2026-05-21,Night,33,35,19,49,9,54,11181,74.99,10.23,1.8,0.66,19.8,18.0,3.0,48.23,1,93,35,11.57,9.7,17.97,112
2024-11-29,Afternoon,56,52,38,70,17,95,18223,121.67,13.04,1.04,1.18,9.3,17.15,8.4,71.82,0,56,30,3.95,9.1,34.69,149
2025-10-22,Morning,76,72,62,86,13,139,27932,240.74,22.18,0.5,0.77,15.0,16.26,1.1,75.49,2,72,61,1.61,71.2,59.66,198
2024-02-03,Morning,48,58,30,76,7,101,18787,73.47,8.63,0.89,0.52,20.7,17.44,0.5,70.65,6,71,42,5.67,45.4,37.09,155
2025-01-15,Morning,47,53,24,76,5,96,15330,87.62,15.76,0.15,7.25,45.3,3.7,73.6,61.81,1,74,40,5.12,61.3,42.09,157
2025-04-23,Night,43,53,26,70,6,91,11433,104.93,7.71,1.76,0.84,37.1,18.33,3.8,63.25,2,84,37,2.08,10.1,25.93,117
2026-12-13,Afternoon,64,50,36,78,10,105,23282,109.1,12.01,2.0,0.17,3.1,18.8,2.8,89.87,1,71,55,1.03,36.6,39.76,152
2024-08-23,Afternoon,32,46,18,60,4,78,9893,41.14,7.64,1.34,0.98,16.3,16.12,12.2,59.18,0,81,37,3.45,9.6,16.61,97
2024-10-30,Morning,41,43,19,65,5,80,12889,34.97,7.46,1.82,1.36,16.0,16.3,0.0,56.33,0,112,59,11.95,13.3,21.2,121
2025-03-23,Night,31,37,14,54,4,63,12487,46.6,10.9,0.07,1.44,18.6,18.06,6.2,59.21,5,77,41,1.88,34.0,23.24,101
2026-12-23,Morning,61,47,36,72,12,98,15458,168.15,22.6,0.28,0.81,11.7,18.04,0.0,69.96,0,69,45,1.75,27.4,33.86,141
2026-07-24,Night,51,51,26,76,6,91,11495,59.42,21.64,1.3,2.18,11.5,18.14,3.4,69.01,0,77,26,3.53,9.0,25.71,108
2024-02-08,Night,36,35,18,53,3,64,8263,61.37,11.48,16.42,0.4,7.2,19.19,0.0,50.49,2,73,49,6.06,63.8,16.39,108
2024-09-13,Afternoon,81,110,73,118,25,161,31243,203.97,16.37,19.33,0.55,8.0,18.82,1.4,84.67,0,78,55,1.61,60.3,66.69,240
2026-06-19,Night,45,43,22,66,6,85,14786,82.01,15.96,0.34,9.41,57.3,2.54,102.6,66.51,1,72,30,16.92,193.4,45.95,183
2024-03-04,Morning,72,78,49,101,11,136,21177,172.86,19.46,0.08,1.46,14.5,17.53,2.3,80.79,0,63,44,5.61,27.0,48.67,176
2026-07-26,Afternoon,93,79,70,102,25,142,35000,217.7,40.0,0.92,5.44,23.2,11.33,47.0,98.29,1,94,87,5.68,159.2,79.84,266
2024-11-04,Morning,65,57,39,83,12,107,22357,142.0,14.67,1.81,1.28,34.8,18.19,5.6,80.71,0,73,42,1.19,4.4,42.44,159
2026-10-02,Afternoon,52,73,37,88,9,114,16527,102.29,12.48,1.72,1.26,24.7,17.31,10.2,72.63,0,86,55,4.88,10.7,35.31,145
2024-11-17,Morning,66,91,58,99,20,134,32480,153.78,19.78,0.34,0.89,10.3,18.81,0.0,83.9,0,79,63,1.71,40.2,59.55,206
2025-04-21,Morning,69,59,40,88,14,119,19605,80.14,16.11,1.59,1.08,12.2,16.4,4.1,77.64,1,61,38,1.16,12.5,38.4,154
2025-12-26,Morning,84,78,52,110,10,153,26186,85.74,16.55,1.62,1.43,23.6,13.25,4.3,90.48,13,93,67,1.21,81.0,63.61,214
2024-05-18,Morning,42,54,29,67,10,83,17985,70.73,7.43,1.21,2.29,26.5,13.55,14.2,62.41,2,83,41,1.56,32.5,34.07,139
2025-09-02,Afternoon,32,32,13,51,6,60,11658,79.13,15.92,1.37,2.99,41.0,13.51,17.5,51.36,0,52,21,2.97,20.1,21.7,110
2025-07-07,Afternoon,61,44,33,72,11,97,18269,110.04,10.72,0.44,9.68,40.6,3.11,105.9,74.21,1,68,40,6.34,141.3,53.31,187
2026-05-09,Morning,39,40,26,53,11,71,14003,96.65,6.2,0.47,0.06,21.8,19.02,0.0,53.1,2,86,38,2.0,20.7,23.78,118
2026-12-27,Night,47,38,18,67,5,81,15858,53.75,10.89,1.15,2.55,27.1,16.36,4.8,63.35,2,81,47,3.26,15.4,29.25,115
2025-12-29,Night,58,59,40,77,5,108,16518,69.47,8.86,0.88,5.67,35.2,10.7,45.1,74.25,1,89,56,2.65,37.8,42.0,143
2025-03-24,Morning,40,36,16,60,3,69,13462,42.52,9.25,1.05,1.79,18.2,15.69,12.9,55.16,4,75,35,3.56,43.2,25.49,117
2025-03-21,Afternoon,65,67,48,84,15,121,24181,108.96,16.99,1.04,2.23,9.3,17.2,3.1,92.85,0,73,54,2.83,68.8,47.64,174
2025-04-03,Afternoon,58,46,23,81,7,102,18067,80.3,9.51,1.04,2.26,12.2,14.39,20.3,75.77,2,61,35,2.61,37.1,36.11,138
2026-06-11,Afternoon,49,43,26,66,9,84,15979,57.48,9.42,0.87,1.73,12.9,17.49,8.1,61.97,0,68,40,14.58,9.8,27.47,146
2024-12-18,Morning,75,74,56,93,19,127,31660,161.48,21.56,2.0,0.95,8.9,18.28,1.5,92.46,0,74,67,2.0,62.3,58.23,209
2024-07-02,Afternoon,41,47,31,57,9,81,16809,111.04,7.95,0.99,8.17,56.5,15.44,3.4,78.69,4,87,33,2.94,108.2,47.78,168
2025-01-01,Morning,69,69,38,100,9,132,26340,119.84,12.39,1.98,2.17,24.3,18.43,0.0,90.4,14,70,55,13.96,155.1,64.86,238
2024-01-25,Morning,57,50,30,77,7,102,16309,84.14,17.06,1.1,2.61,20.6,14.9,18.1,67.65,0,64,36,6.39,12.3,33.53,143
2024-04-26,Afternoon,67,72,53,86,13,124,19219,143.88,12.74,0.11,2.68,33.9,16.28,11.2,79.36,6,88,69,3.52,158.5,53.37,193
2024-04-08,Afternoon,66,66,51,81,14,118,22537,203.16,11.6,0.3,1.38,37.7,18.85,0.0,73.93,2,101,83,3.94,51.3,50.27,187
2026-04-25,Night,40,33,16,57,7,62,13065,62.07,11.09,1.94,1.34,34.0,16.35,11.8,57.82,2,35,12,1.2,20.8,22.48,103
